"ID","Module","Feature","Description","Prerequisites","Steps","Input","Expected","Priority","Type","Status","Notes"
"TC-001","Trang chủ","Hiển thị trang","Trang chủ tải thành công","Website đã deploy, có kết nối internet","1. Mở trình duyệt
2. Nhập URL trang chủ
3. Nhấn Enter","URL trang chủ","Trang chủ hiển thị đầy đủ: hero banner, menu điều hướng, danh sách phòng, footer","Cao","Chức năng","Chưa kiểm tra",""
"TC-002","Trang chủ","Hero Banner Slider","Slider banner tự động chuyển slide","Trang chủ đã load xong","1. Quan sát hero banner
2. Chờ khoảng 5-7 giây","—","Slider tự động chuyển sang slide tiếp theo, animation Ken Burns hoạt động trơn tru","Trung bình","UI/UX","Chưa kiểm tra",""
"TC-003","Trang chủ","Điều hướng menu","Menu chính hiển thị và điều hướng đúng","Trang chủ đã load","1. Nhìn vào menu chính
2. Click lần lượt các mục menu","Menu: Trang chủ, Phòng, Đặt phòng, Liên hệ","Mỗi mục menu điều hướng đến trang tương ứng","Cao","Chức năng","Chưa kiểm tra",""
"TC-004","Trang chủ","Điều hướng menu (Mobile)","Menu responsive hoạt động trên mobile","Trình duyệt ở chế độ mobile (<768px)","1. Thu nhỏ cửa sổ trình duyệt dưới 768px
2. Tìm nút hamburger
3. Click nút hamburger","Viewport width < 768px","Menu hamburger xuất hiện, click vào mở menu dropdown đầy đủ","Cao","Responsive","Chưa kiểm tra",""
"TC-005","Trang chủ","Chuyển ngôn ngữ","Chuyển đổi giữa Tiếng Việt và English","Website hỗ trợ đa ngôn ngữ","1. Tìm nút chuyển ngôn ngữ
2. Click 'EN'
3. Quan sát nội dung","Ngôn ngữ hiện tại: Tiếng Việt","Nội dung toàn trang chuyển sang tiếng Anh","Trung bình","Chức năng","Chưa kiểm tra",""
"TC-006","Đặt phòng","Hiển thị form","Form đặt phòng tải và hiển thị đúng","Truy cập trang /dat-phong","1. Mở trang đặt phòng
2. Kiểm tra các trường form","URL: /dat-phong","Form hiển thị: Check-in date, Check-out date, Adults (dropdown), Children (dropdown), nút 'Kiểm tra phòng trống'","Cao","Chức năng","Chưa kiểm tra",""
"TC-007","Đặt phòng","Ngày nhận phòng - Hợp lệ","Chọn ngày check-in hợp lệ (hôm nay)","Form đặt phòng hiển thị","1. Click vào ô 'Ngày nhận phòng'
2. Chọn ngày hôm nay","Ngày: hôm nay (2026-08-18)","Ngày được chọn và hiển thị đúng định dạng","Cao","Chức năng","Chưa kiểm tra",""
"TC-008","Đặt phòng","Ngày nhận phòng - Không hợp lệ","Không cho chọn ngày trong quá khứ","Form đặt phòng hiển thị","1. Click vào ô 'Ngày nhận phòng'
2. Thử chọn ngày hôm qua","Ngày: hôm qua (2026-08-17)","Calendar không cho phép chọn ngày trong quá khứ (min = today)","Cao","Validation","Chưa kiểm tra",""
"TC-009","Đặt phòng","Ngày trả phòng - Tự động cập nhật","Check-out date tự động >= check-in + 1 ngày","Đã chọn ngày check-in","1. Chọn ngày check-in (ví dụ: 20/08/2026)
2. Quan sát ngày check-out","Check-in: 2026-08-20","Min của check-out tự động set thành 2026-08-21. Nếu check-out cũ <= check-in, tự động reset check-out","Cao","Validation","Chưa kiểm tra",""
"TC-010","Đặt phòng","Chọn số người lớn","Dropdown Adults hiển thị đúng tùy chọn","Form đặt phòng hiển thị","1. Click dropdown 'Người lớn'
2. Xem các tùy chọn","—","Hiển thị: 1, 2 (mặc định), 3, 4, 5+ người lớn","Trung bình","Chức năng","Chưa kiểm tra",""
"TC-011","Đặt phòng","Chọn số trẻ em","Dropdown Children hiển thị đúng tùy chọn","Form đặt phòng hiển thị","1. Click dropdown 'Trẻ em'
2. Xem các tùy chọn","—","Hiển thị: 0 (mặc định), 1, 2, 3+ trẻ em","Trung bình","Chức năng","Chưa kiểm tra",""
"TC-012","Đặt phòng","Submit form - Đủ thông tin","Tìm kiếm phòng thành công với dữ liệu hợp lệ","Đã điền đầy đủ thông tin","1. Chọn check-in: 2026-08-20
2. Chọn check-out: 2026-08-22
3. Adults: 2, Children: 0
4. Click 'Kiểm tra phòng trống'","Check-in: 2026-08-20\nCheck-out: 2026-08-22\nAdults: 2\nChildren: 0","Loading spinner hiển thị, sau đó danh sách phòng trống được hiển thị","Cao","Chức năng","Chưa kiểm tra",""
"TC-013","Đặt phòng","Submit form - Thiếu ngày","Validation khi submit thiếu ngày","Form đặt phòng rỗng","1. Không nhập ngày
2. Click 'Kiểm tra phòng trống'","Check-in: rỗng\nCheck-out: rỗng","HTML5 required validation ngăn submit, hiển thị thông báo lỗi trường bắt buộc","Cao","Validation","Chưa kiểm tra",""
"TC-014","Đặt phòng","Nút Loading spinner","Spinner hiển thị khi đang tìm kiếm","Form đã điền đầy đủ","1. Click 'Kiểm tra phòng trống'
2. Quan sát ngay sau click","Form hợp lệ","Spinner animation xuất hiện trên nút, text 'Kiểm tra phòng trống' thay bằng spinner icon","Thấp","UI/UX","Chưa kiểm tra",""
"TC-015","Tìm phòng","Hiển thị form tìm phòng","Form tìm phòng trống hiển thị đầy đủ","Truy cập trang /tim-phong","1. Mở trang tìm phòng
2. Kiểm tra các trường form","URL: /tim-phong","Form hiển thị: Check-in, Check-out, Số khách (Adults/Children counter), Loại phòng (dropdown), nút Tìm phòng trống","Cao","Chức năng","Chưa kiểm tra",""
"TC-016","Tìm phòng","Bộ đếm Adults (+/-)","Nút +/- điều chỉnh số người lớn","Form tìm phòng hiển thị","1. Click nút '+' ở Adults
2. Click nút '-' ở Adults","Adults ban đầu: 2","Click '+': tăng lên 3. Click '-': giảm xuống 2. Không giảm dưới 1.","Cao","Chức năng","Chưa kiểm tra",""
